N,m,repetition,nn_probability_estimate,two_stage_probability_estimate,nn_classification_error
100,5,0,0.22668333746803457,0.25186129047653283,0.21474
100,5,1,0.2514669156269903,0.2197784288437992,0.23222
100,5,2,0.24082637914166616,0.24112589346118493,0.22192
100,5,3,0.2244094983138724,0.24139692273353866,0.22772
100,5,4,0.23046653993356042,0.21525555934389173,0.21756
100,5,5,0.20873882462320467,0.2437981915252995,0.21876
100,5,6,0.22105896465289848,0.21135437297997087,0.2199
100,5,7,0.24047422187639533,0.24900524291390103,0.22198
100,5,8,0.20559911178889337,0.26283952098060687,0.24638
100,5,9,0.2322125176857358,0.22025108192200515,0.24252
100,5,10,0.2253027268346626,0.2639243474297993,0.2403
100,5,11,0.22131907762840575,0.23033009344567665,0.23474
100,5,12,0.23871615168700572,0.18611616221923521,0.23354
100,5,13,0.2355013764156596,0.2818117704802596,0.22312
100,5,14,0.2754058482328233,0.23141380444857798,0.23068
100,5,15,0.21997985991576707,0.22811053127383107,0.19216
100,5,16,0.23103377704633096,0.3475350714385,0.23448
100,5,17,0.21836314379837476,0.23016058481671553,0.21056
100,5,18,0.232242966811124,0.285063460250408,0.20718
100,5,19,0.23009306888258052,0.3341271808530261,0.23554
100,5,20,0.2412239840479815,0.20579245538118257,0.22538
100,5,21,0.23131707568754745,0.19306557277204742,0.21836
100,5,22,0.25660817763943494,0.21890888602874323,0.23086
100,5,23,0.22662080672620735,0.2685378932984079,0.24486
100,5,24,0.22577480407887562,0.20804909638918062,0.21158
100,5,25,0.22693482573176502,0.20266279459242237,0.21632
100,5,26,0.22439502220237514,0.20575059603210463,0.20748
100,5,27,0.22857952603712994,0.19206857648871364,0.20502
100,5,28,0.22059238026114528,0.20732823828342065,0.2044
100,5,29,0.23215616150655285,0.19977873931182966,0.23482
100,5,30,0.22653123321159133,0.3167435011749634,0.2038
100,5,31,0.22215659919094144,0.28702333640258704,0.25054
100,5,32,0.2192937741975896,0.22055666201003904,0.2144
100,5,33,0.22798222471571522,0.22640636269445527,0.2257
100,5,34,0.2116796038533632,0.24851181928407604,0.25298
100,5,35,0.2484017970740982,0.22178887108154755,0.1958
100,5,36,0.22296302935389797,0.3253682781741285,0.20924
100,5,37,0.23183621372069182,0.22928513470254658,0.2122
100,5,38,0.23143096865276694,0.2641712792108589,0.24198
100,5,39,0.23034718554628641,0.197115432477075,0.23816
100,5,40,0.24300752038710285,0.15829547678514214,0.20936
100,5,41,0.21748704121288243,0.19735987271684383,0.23124
100,5,42,0.1918687794537494,0.1731173350396986,0.25794
100,5,43,0.2242436154144317,0.19940408347674649,0.26638
100,5,44,0.2312870963175204,0.31776411553984507,0.24964
100,5,45,0.24775750667011587,0.25141072480455084,0.22898
100,5,46,0.2277527839878819,0.22195751649426748,0.21776
100,5,47,0.23594354649975763,0.24742300019153807,0.1965
100,5,48,0.2450597571360984,0.23378615633744992,0.20602
100,5,49,0.23177709881918004,0.18962847548288025,0.23628
100,5,50,0.22200138245452658,0.2598424897258153,0.21318
100,5,51,0.2291767862102141,0.22097468199150114,0.21736
100,5,52,0.2237686689790956,0.2492680045374328,0.22838
100,5,53,0.24307553606067395,0.21077557683674458,0.2404
100,5,54,0.237467135384058,0.153809851731023,0.21626
100,5,55,0.21657619062946143,0.23671783847245126,0.23234
100,5,56,0.23528647934499675,0.24084223033773763,0.21778
100,5,57,0.21639302464838164,0.2885032865125642,0.24548
100,5,58,0.2362520647818032,0.21508214424430733,0.22818
100,5,59,0.24634971789903215,0.21541096544055782,0.22786
100,5,60,0.2432626263125363,0.20997571581239707,0.19884
100,5,61,0.2210650908788871,0.2773245790835107,0.25102
100,5,62,0.22250347213440344,0.2652722434626192,0.23104
100,5,63,0.24219527168836108,0.24167936939924964,0.24384
100,5,64,0.2303424930000068,0.25002119948361606,0.22752
100,5,65,0.22237854016822053,0.25684504552120785,0.2423
100,5,66,0.2362993298995116,0.1978169704958132,0.25034
100,5,67,0.2452424721608554,0.24612445269760488,0.2395
100,5,68,0.2262526124041202,0.19675707843427206,0.23142
100,5,69,0.2103156311710234,0.2835144952024658,0.21444
100,5,70,0.2461296485500401,0.18742039524440585,0.21204
100,5,71,0.22089629852305717,0.3006721194974459,0.17976
100,5,72,0.22481081452638835,0.20457562242889582,0.20264
100,5,73,0.23518444026071197,0.19771465513062267,0.25632
100,5,74,0.21791697138918917,0.15279058364987377,0.27384
100,5,75,0.21420193571919927,0.23201728737526123,0.23572
100,5,76,0.2350183471201744,0.17725636839666467,0.22658
100,5,77,0.2292519391754757,0.2265754748366684,0.1911
100,5,78,0.23278267151253632,0.2591526741977375,0.24326
100,5,79,0.20317665049080946,0.2324277493620272,0.23794
100,5,80,0.2295745841269879,0.17918851355112136,0.18822
100,5,81,0.23054045033226225,0.14227592397549255,0.23744
100,5,82,0.22767482157164137,0.2237925994251171,0.22522
100,5,83,0.22908055751109557,0.20198995273193232,0.19914
100,5,84,0.25018359619404573,0.16909881234982446,0.25892
100,5,85,0.21531584226280318,0.19877187103350358,0.22582
100,5,86,0.227978875062474,0.25481382615038456,0.2312
100,5,87,0.22055035044029717,0.31720675524694975,0.2658
100,5,88,0.2441824337907044,0.33557389912401847,0.23254
100,5,89,0.2148092015449724,0.22928414600991878,0.21428
100,5,90,0.22795832245198144,0.21945436481611044,0.2298
100,5,91,0.23413543216931432,0.24252380319202874,0.22536
100,5,92,0.23217373487813397,0.17733751898042274,0.20262
100,5,93,0.2195611792238934,0.2883015387225619,0.20996
100,5,94,0.23412101434005067,0.2061244912895186,0.21374
100,5,95,0.21235518178390453,0.30461811233846614,0.2434
100,5,96,0.23239916808443786,0.22815432966242058,0.23292
100,5,97,0.20777362737916616,0.18385802992868228,0.23042
100,5,98,0.23512855622180404,0.2706584453227226,0.26642
100,5,99,0.24431705641449414,0.17278614656068197,0.23124
200,5,0,0.22838251604008766,0.21406358427113248,0.16864
200,5,1,0.22076970820785963,0.22322014423259662,0.18446
200,5,2,0.23915285229918176,0.20962948133196502,0.17702
200,5,3,0.22497651008520242,0.1981325701952082,0.18194
200,5,4,0.22669568583032162,0.22490654861986886,0.15956
200,5,5,0.23332144210038588,0.2438538650640549,0.17718
200,5,6,0.23566291101132955,0.2177052157403651,0.17442
200,5,7,0.22424528627442414,0.19624519690209138,0.18862
200,5,8,0.23339897650368832,0.22819839525919444,0.16734
200,5,9,0.23027080201669214,0.19001813086801567,0.1715
200,5,10,0.23619590643283028,0.17642755112994687,0.18898
200,5,11,0.2254881661962251,0.23362554723871504,0.1746
200,5,12,0.2312183855686557,0.284251669882019,0.18228
200,5,13,0.22367493625473375,0.2196464427376801,0.18314
200,5,14,0.23364833262426862,0.24561171238155985,0.16164
200,5,15,0.21714592707060704,0.23000014574909944,0.16392
200,5,16,0.22546066223445993,0.17088693709365077,0.17102
200,5,17,0.22455071821267034,0.20096380272357256,0.16492
200,5,18,0.22697093011791813,0.2441468979099504,0.17524
200,5,19,0.22834819131916792,0.20696625535897006,0.16572
200,5,20,0.23725786321355144,0.2587187390018517,0.17008
200,5,21,0.23256478241358863,0.21167634634790347,0.16576
200,5,22,0.23247764698933068,0.2672099196330422,0.15764
200,5,23,0.22492628122669256,0.247908385351921,0.16894
200,5,24,0.23114437436728363,0.26888538137419055,0.16554
200,5,25,0.23326129001408122,0.24531508836224322,0.15284
200,5,26,0.2274901061098411,0.23772538316985903,0.16076
200,5,27,0.2259628524615806,0.19876370947024927,0.16322
200,5,28,0.23808683381471235,0.21555687921472516,0.17232
200,5,29,0.23724104097709856,0.2374764438727832,0.14468
200,5,30,0.23601428895486953,0.20061423964814823,0.16064
200,5,31,0.2280716962151817,0.22548766285107982,0.16762
200,5,32,0.22877004584631544,0.22217839027350997,0.16204
200,5,33,0.2290835929271648,0.23469202964946181,0.15328
200,5,34,0.2305986090226596,0.2675181794575323,0.15918
200,5,35,0.2325496812413883,0.22914925459402857,0.18328
200,5,36,0.2332938794673569,0.21578384322261457,0.16404
200,5,37,0.23345003769125788,0.196736925689385,0.16138
200,5,38,0.2253900946508332,0.23870048075441305,0.17472
200,5,39,0.22422201080160126,0.27343118306786174,0.19082
200,5,40,0.23157101342168002,0.2716531587152954,0.17398
200,5,41,0.22575302973873257,0.23178235208080483,0.18552
200,5,42,0.23527366981924788,0.20430643461350653,0.19104
200,5,43,0.23397268273212046,0.3013640637679867,0.15468
200,5,44,0.24554107035154274,0.22387152914404398,0.17832
200,5,45,0.22496153145258452,0.27377636298474134,0.18072
200,5,46,0.22795612318163916,0.25311851772905825,0.1641
200,5,47,0.22068632641436053,0.2637511736535696,0.16284
200,5,48,0.22864780867090434,0.23595449433316237,0.18106
200,5,49,0.22525757302956134,0.2802560826465335,0.17346
200,5,50,0.22580437294154615,0.2347121800992125,0.17292
200,5,51,0.22798313610080853,0.21098847780585858,0.17734
200,5,52,0.22914428479711693,0.23856217996689025,0.15654
200,5,53,0.22946679829979025,0.21531747232843557,0.16396
200,5,54,0.23062398610395715,0.18320605701127848,0.1605
200,5,55,0.21590121445586113,0.21061870836048435,0.1679
200,5,56,0.22152290759452628,0.1733400845932599,0.17984
200,5,57,0.24093279038980978,0.2262008167825012,0.16586
200,5,58,0.2278130077036432,0.22089430413564706,0.18656
200,5,59,0.21494014186383956,0.1878648475536834,0.16454
200,5,60,0.22660203601510728,0.23984444872339597,0.16322
200,5,61,0.24022187882767504,0.21397996383919923,0.1669
200,5,62,0.2274084838419533,0.23692086859984413,0.18302
200,5,63,0.2293502855939587,0.2779974085894253,0.1697
200,5,64,0.2280488604228147,0.23242301652317773,0.15926
200,5,65,0.2360537780596861,0.256343438675681,0.16874
200,5,66,0.24034646682738997,0.25183350538414,0.16216
200,5,67,0.2392924955386359,0.18051385334410305,0.18772
200,5,68,0.23349264142385462,0.21431459957170515,0.17386
200,5,69,0.24333171485611932,0.2363193174126113,0.18368
200,5,70,0.2247156474557072,0.21933743619724716,0.1613
200,5,71,0.2302393256408503,0.2468672374842652,0.14386
200,5,72,0.2317884313569636,0.253389320870919,0.17792
200,5,73,0.22201011159517536,0.2630694820022732,0.16924
200,5,74,0.2372735086360875,0.21628467548248037,0.15326
200,5,75,0.23239692838127052,0.2068075212044842,0.16848
200,5,76,0.24253634960145787,0.19886476593881183,0.17126
200,5,77,0.23012375631090176,0.25850525815733816,0.16478
200,5,78,0.2305571614480033,0.23083023638240116,0.1919
200,5,79,0.2254603312358923,0.21477459259393172,0.1702
200,5,80,0.23348289284814744,0.20430453109658703,0.1673
200,5,81,0.22851690675687483,0.23517338277284855,0.17858
200,5,82,0.22825994961254875,0.211642565922555,0.15618
200,5,83,0.2346275094004834,0.21985414704527753,0.17776
200,5,84,0.22899133245670067,0.21572903860481418,0.16688
200,5,85,0.23422841485120488,0.22716064863421376,0.17794
200,5,86,0.23508303246475262,0.22702787554454734,0.16224
200,5,87,0.23611078934141752,0.23965301700535124,0.16986
200,5,88,0.2350764635349025,0.22660712986221782,0.16546
200,5,89,0.23809085818059364,0.21936673069470553,0.18892
200,5,90,0.22983749224857383,0.21179147095642958,0.17556
200,5,91,0.2327020243555265,0.2125460244080871,0.19096
200,5,92,0.2235833011136628,0.23382957402156154,0.16432
200,5,93,0.22883984455462122,0.16896241384797017,0.1656
200,5,94,0.22709179232981647,0.18595100493469158,0.17934
200,5,95,0.23897614709790116,0.21691893286821728,0.17902
200,5,96,0.23445518136840449,0.20942709198855886,0.17494
200,5,97,0.22366517572824876,0.22158853213708724,0.15548
200,5,98,0.22786892647171592,0.23640817578845835,0.18614
200,5,99,0.2499733862499023,0.20812367313818272,0.17402
500,5,0,0.22723938951929093,0.23145919525186504,0.12146
500,5,1,0.23336652343869838,0.23919684165474042,0.11468
500,5,2,0.23024035892412015,0.2212481988952928,0.11622
500,5,3,0.23310997805399233,0.24263811715668765,0.12402
500,5,4,0.2287580013896918,0.21250675477792824,0.1156
500,5,5,0.22823863006916922,0.23067620387501275,0.10838
500,5,6,0.23122757025539956,0.22390079877331692,0.11676
500,5,7,0.23339480695951312,0.24798060844028616,0.11302
500,5,8,0.2338262046045445,0.25702497064970065,0.12212
500,5,9,0.23548425042399732,0.20447047716188124,0.10844
500,5,10,0.22908575140108228,0.23054386136147928,0.11052
500,5,11,0.22780326124689865,0.24257045906965985,0.11314
500,5,12,0.2292184673782038,0.20388616819640865,0.09882
500,5,13,0.22849617955485435,0.21728653866277567,0.11816
500,5,14,0.22730154458405266,0.22639048083516292,0.11616
500,5,15,0.23010307161807403,0.23715548440325088,0.11274
500,5,16,0.22918669157193008,0.25453337624851374,0.11984
500,5,17,0.23060527804235492,0.23551121480323237,0.10982
500,5,18,0.2324030093027278,0.24002294537092114,0.10706
500,5,19,0.23328077565531266,0.22238161987615016,0.11274
500,5,20,0.23048026252101828,0.20903557548076096,0.11406
500,5,21,0.23148725764861317,0.22669447108082494,0.11232
500,5,22,0.22904412143160596,0.21844816182168428,0.1171
500,5,23,0.22969936842867456,0.22041211937841412,0.1124
500,5,24,0.22905065222866647,0.243649631598647,0.1118
500,5,25,0.22789674740474958,0.26448008055294275,0.11974
500,5,26,0.23164377861799693,0.21365654807455536,0.11472
500,5,27,0.22961134636356645,0.23682326446956375,0.117
500,5,28,0.22941937936332799,0.23737355075001534,0.11856
500,5,29,0.23277036027467363,0.25355741020261174,0.106
500,5,30,0.22747767395446186,0.2477707713032276,0.11126
500,5,31,0.22917499029338678,0.24111423687417233,0.11494
500,5,32,0.2263404055703462,0.2310450097815026,0.1233
500,5,33,0.22873998125844072,0.24249134635164224,0.1028
500,5,34,0.23448352497673772,0.18262584523861886,0.12218
500,5,35,0.22946151965671518,0.20684464789589446,0.1182
500,5,36,0.23306364018926115,0.24283580343077021,0.10766
500,5,37,0.23212402625785106,0.24063106147385188,0.10916
500,5,38,0.2306091861994239,0.246624364659562,0.11844
500,5,39,0.22900986671786777,0.22003587511373907,0.11436
500,5,40,0.2302097846395168,0.2155143631790439,0.11068
500,5,41,0.2332174290885553,0.23144576458361676,0.10844
500,5,42,0.2314318789502824,0.2360154291379389,0.10714
500,5,43,0.2286984031574243,0.22860506825137966,0.10244
