N,m,repetitions,classification_error_mean,classification_error_sd,nn_estimate_mean,nn_variance,mc_estimate_mean,mc_variance,variance_ratio
100,5,100,0.22671119999999997,0.01853107405457551,0.2292829267696088,0.0001490721655383888,0.23237294024450428,0.0018413281290784375,0.08095904428125889
200,5,100,0.1706956,0.01056220270109364,0.23055900937905874,3.797497374403327e-05,0.2267485476625221,0.0006974802170734673,0.05444595103122942
500,5,100,0.11432959999999999,0.005748597355490779,0.23094771906996844,6.164031437676149e-06,0.22862717595063692,0.00028181218227346275,0.021872835261943162
1000,5,100,0.0819054,0.003973971735371974,0.23105583802439889,2.5280962892265025e-06,0.2312504925484824,0.0001750506300042974,0.014442086207655688
2000,5,100,0.0578542,0.002501074185386767,0.23080545091657467,7.523514329161952e-07,0.22997267142383876,8.564657520950656e-05,0.008784372650929842
5000,5,100,0.0366328,0.001404185719680105,0.23080452161491682,2.8782982460706714e-07,0.23056457054700918,3.0003105235226326e-05,0.009593334501561166
10000,5,100,0.0258038,0.0010119915159144501,0.23078386276185714,1.1295341255455401e-07,0.23117593653633256,1.6229046650543868e-05,0.006959953655119274
20000,5,100,0.0181376,0.0006356371495268236,0.23079750172007935,2.7377097865677058e-08,0.23092510339713204,8.704060740953508e-06,0.003145324772018763
100,10,100,0.378553,0.019579469431839133,0.2256429248007704,0.0003179304687332744,0.22922891748063484,0.002039958240769273,0.15585145929917762
200,10,100,0.30409220000000003,0.01268431621883474,0.2267525816597396,7.602898615856034e-05,0.2231151867172173,0.000700911506808397,0.10847159080717421
500,10,100,0.21888760000000002,0.007073025600937346,0.2270813332801492,1.0120004847141976e-05,0.22377390147229412,0.00025877018570933877,0.039108078928803566
1000,10,100,0.1649538,0.005396067924934324,0.2268811882723308,2.185685942861784e-06,0.2268697744911516,0.00016235016691901766,0.013462788393386946
2000,10,100,0.1200664,0.0032973461995362205,0.22657356563321682,7.750109795545503e-07,0.22571641057832195,7.855025447309513e-05,0.009866434994427745
5000,10,100,0.0776356,0.0017905556498901513,0.2266256239526908,1.4437181251807597e-07,0.22614266117881793,2.781397355594896e-05,0.005190621621454629
10000,10,100,0.0548224,0.0013543294736630097,0.22658407016031107,6.643873776686999e-08,0.22659850698411796,1.517712207829052e-05,0.004377558368717644
20000,10,100,0.0387746,0.0009304668318927482,0.2265730447858709,1.917133410487182e-08,0.2264625526854153,8.316849855322398e-06,0.0023051196592905974
100,20,100,0.5138872,0.017306358852377725,0.2216419773391413,0.0007618909771758638,0.22276086457646432,0.002241639571585565,0.33988112399218584
200,20,100,0.44308759999999997,0.011534077670848745,0.22491034768232882,0.00017009977554103295,0.22354839832571258,0.0007567491838476665,0.22477695274961013
500,20,100,0.353457,0.006447766428709396,0.22761356341542346,2.282049548062101e-05,0.2240152478236354,0.0002575972233313543,0.08858983488058172
1000,20,100,0.2848684,0.00549920999284939,0.22735785609939668,5.637149571344098e-06,0.2272857229387129,0.00015861096227594054,0.03554073117302554
2000,20,100,0.22094139999999998,0.0037709407287569467,0.22709045443330475,1.514673937898928e-06,0.22604116516971612,8.850888748335327e-05,0.01711324117799817
5000,20,100,0.1520896,0.0024579592093335193,0.22708975776507967,2.9191493447046044e-07,0.22628723925474956,2.6926232449522744e-05,0.01084128405330002
10000,20,100,0.1107916,0.0019307802996862613,0.22703103379844425,1.1613225877686817e-07,0.22700236963865372,1.582780005660288e-05,0.007337233119041158
20000,20,100,0.0797398,0.001245681007207369,0.2270376968766921,2.556586357006326e-08,0.2267655405507968,8.19611317266372e-06,0.0031192667831054857
